review_id,student_id,instructor_id,course_id,review_text,rating_score,sentiment_label,sentiment_score,dominant_topic,confidence_level,keyword_tags
1,2889,21,69,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
2,2581,46,130,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
3,344,48,20,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
4,2,70,145,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
5,1668,48,58,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
6,2912,35,15,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
7,1235,45,34,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
8,2195,20,23,Excellent pacing and real-world examples. Highly recommend!,4,Positive,0.994,2,0.797,realworld example
9,2016,3,124,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
10,709,18,76,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
11,2707,70,149,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
12,2331,16,97,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
13,2330,37,22,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
14,1903,4,19,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
15,1426,7,107,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
16,1217,15,111,Excellent pacing and real-world examples. Highly recommend!,4,Positive,0.994,2,0.797,realworld example
17,912,4,71,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
18,1413,75,132,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
19,999,18,77,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
20,36,69,91,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
21,1904,34,132,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
22,2558,68,95,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
23,1392,55,106,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
24,2310,74,50,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
25,2361,60,70,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
26,847,68,38,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
27,645,68,114,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
28,1799,53,138,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
29,478,3,34,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
30,134,23,137,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
31,1364,3,11,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
32,2180,41,117,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
33,652,41,135,"Content was decent, but the delivery could have been better.",3,Neutral,0.0,2,0.759,decent delivery
34,78,66,97,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
35,1860,64,75,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
36,737,46,105,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
37,381,12,100,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
38,1794,20,114,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
39,1519,48,127,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
40,1093,72,66,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
41,739,68,107,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
42,514,57,38,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
43,1546,44,123,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
44,2464,56,121,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
45,429,60,129,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
46,1078,22,135,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
47,663,42,146,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
48,2831,20,76,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
49,1183,16,94,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
50,698,52,146,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
51,2189,73,36,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
52,1361,44,17,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
53,2485,65,59,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
54,2436,45,59,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
55,971,14,93,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
56,2957,49,95,"Content was decent, but the delivery could have been better.",3,Neutral,0.0,2,0.759,decent delivery
57,2739,65,144,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
58,2474,14,127,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
59,2103,55,120,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
60,2737,61,26,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
61,1230,6,117,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
62,1010,73,59,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
63,2726,75,94,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
64,1253,9,139,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
65,1758,5,50,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
66,2128,40,62,Excellent pacing and real-world examples. Highly recommend!,4,Positive,0.994,2,0.797,realworld example
67,2156,52,22,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
68,2234,66,122,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
69,1197,4,66,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
70,2224,34,19,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
71,68,57,134,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
72,212,12,72,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
73,1588,8,111,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
74,685,11,122,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
