review_id,rating_score,sentiment_label,dominant_topic,keyword_tags,confidence_level
1,5,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8662353
2,2,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.839611
3,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8662563
4,3,Neutral,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.5333954
5,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8658073
6,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8855476
7,5,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86602294
8,4,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8856759
9,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8855402
10,5,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.88567585
11,4,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.8664715
12,1,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8392066
13,4,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8855128
14,3,Neutral,0,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.88483846
15,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
16,4,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.88567585
17,3,Neutral,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.5333954
18,1,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8392016
19,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.89991575
20,1,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.839611
21,1,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.839216
22,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.88554776
23,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8662322
24,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8855475
25,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8660162
26,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.86580825
27,4,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.88551193
28,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8662401
29,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
30,5,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86602026
31,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8855477
32,5,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.88551146
33,3,Neutral,3,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8651921
34,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.86580753
35,5,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.86621606
36,2,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.866256
37,5,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.88551176
38,2,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.86623114
39,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86601776
40,1,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8396109
41,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8662561
42,4,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8662342
43,4,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8855101
44,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
45,4,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.86623526
46,5,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.88551605
47,5,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86601776
48,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
49,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86602026
50,4,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.866471
51,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8855405
52,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.88554054
53,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8855477
54,2,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8662307
55,2,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8662344
56,3,Neutral,3,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.86519
57,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8855476
58,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8658151
59,3,Neutral,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.5333954
60,4,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.86646986
61,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8658062
62,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8855404
63,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
64,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8658132
65,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.866256
66,4,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.88567585
67,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8855402
68,5,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.86647016
69,5,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.8664711
70,2,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8392138
71,4,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.86647075
72,1,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.839611
73,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.86625624
74,5,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.866023
75,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
76,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8855476
77,1,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8396109
78,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.88554776
79,5,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8662338
80,1,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.839611
81,4,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8856758
82,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8855405
83,2,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.86623317
84,2,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8396109
85,1,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.83920175
86,5,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8856758
87,2,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.83921486
88,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8660248
89,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86602116
90,3,Neutral,0,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8848383
91,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8660231
92,4,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8662352
93,5,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8660184
94,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.89991575
95,3,Neutral,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.5333954
96,1,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8392075
97,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.86580825
98,4,Positive,1,"feedback, content, engaging, appreciated, timely, course, clear, example, delivery, follow",0.86647034
99,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8999157
100,4,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.8660242
101,3,Neutral,4,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.88554066
102,2,Negative,0,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.83961105
103,2,Negative,1,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.8392041
104,3,Neutral,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8658452
105,5,Positive,4,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.88551605
106,1,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.89991575
107,1,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.86623967
108,2,Negative,4,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.89991575
109,2,Negative,2,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.86623436
110,5,Positive,0,"instructor, course, felt, rarely, question, hard, responded, follow, much, gain",0.8662356
111,5,Positive,3,"explanation, clear, fastpaced, lacked, follow, easy, teaching, style, great, delivery",0.86602527
112,3,Neutral,0,"throughout, struggled, stay, focused, engaging, great, bad, experience, average, learning",0.8848387
113,4,Positive,2,"example, recommend, pacing, realworld, highly, excellent, unhelpful, delayed, often, feedback",0.88567585
